                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.74284,                0.48998,                  1.179,                 0.7785,                0.80435,                0.85417,                0.57498,                 1.2324,                0.87213,                 1.4963,              0.0003764,              0.0003764,              0.0003764
                     84,                0.74888,                0.49615,                 1.1898,                0.81373,                0.78804,                0.87412,                0.57631,                 1.2796,                0.83821,                  1.555,              0.0003566,              0.0003566,              0.0003566
                     85,                0.73863,                0.49025,                 1.1749,                0.83311,                0.75967,                0.87211,                0.58349,                 1.2445,                0.84256,                 1.5128,              0.0003368,              0.0003368,              0.0003368
                     86,                0.72795,                 0.4793,                 1.1637,                0.80998,                 0.7663,                0.86175,                0.58153,                 1.2371,                0.84446,                 1.4946,               0.000317,               0.000317,               0.000317
                     87,                0.73025,                0.47912,                 1.1739,                0.74825,                0.86957,                0.86394,                0.58072,                 1.2216,                0.83166,                 1.4905,              0.0002972,              0.0002972,              0.0002972
                     88,                0.71954,                0.47554,                 1.1628,                0.79527,                0.84239,                0.86984,                0.57062,                  1.278,                0.85885,                 1.5281,              0.0002774,              0.0002774,              0.0002774
                     89,                0.72204,                0.46123,                 1.1608,                0.81244,                0.80042,                0.87631,                0.57285,                  1.284,                0.84286,                 1.5527,              0.0002576,              0.0002576,              0.0002576
                     90,                0.69402,                0.46365,                 1.1513,                0.77697,                0.82609,                0.87873,                0.57904,                 1.2711,                0.82434,                 1.5517,              0.0002378,              0.0002378,              0.0002378
                     91,                0.62174,                0.35193,                 1.0219,                0.84144,                0.77873,                0.88461,                0.58731,                 1.2453,                0.80857,                 1.5453,               0.000218,               0.000218,               0.000218
                     92,                0.60326,                0.33621,                 1.0126,                0.84049,                   0.75,                 0.8755,                0.57987,                 1.2427,                0.82786,                 1.5469,              0.0001982,              0.0001982,              0.0001982
                     93,                  0.595,                0.32907,                 1.0071,                0.88759,                0.77174,                0.88038,                0.57701,                 1.2405,                0.82844,                  1.513,              0.0001784,              0.0001784,              0.0001784
                     94,                0.57957,                0.32253,                0.98676,                0.83506,                0.78261,                0.88396,                0.57705,                 1.2618,                0.83316,                 1.5821,              0.0001586,              0.0001586,              0.0001586
                     95,                0.58551,                0.32481,                0.99004,                0.83848,                0.76175,                0.88024,                0.58363,                 1.2376,                0.83593,                 1.5436,              0.0001388,              0.0001388,              0.0001388
                     96,                0.57414,                0.31555,                0.98312,                0.71979,                0.91304,                0.88189,                0.59053,                 1.2122,                0.81042,                 1.5192,               0.000119,               0.000119,               0.000119
                     97,                0.55382,                0.31113,                0.97703,                0.83139,                0.77716,                0.88095,                0.59338,                 1.2224,                0.82015,                 1.5196,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.55751,                0.30985,                0.97874,                0.83637,                 0.7778,                0.88552,                0.59749,                 1.2086,                0.79969,                 1.5123,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.54669,                0.29989,                 0.9744,                0.84111,                0.77717,                0.88044,                0.58243,                 1.2497,                0.81678,                 1.5567,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.54756,                0.30575,                0.96546,                0.84516,                0.77131,                 0.8837,                 0.5908,                 1.2443,                0.81665,                 1.5503,               3.98e-05,               3.98e-05,               3.98e-05
